NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
140,安下庄中学校,アゲノショウチュウガッコウ,山口県大島郡周防大島町大字西安下庄562,,,,,,,353051,山口県,周防大島町,,,,,,,,,,300(3.3㎡あたり1人),,,
141,安下庄中学校体育館,アゲノショウチュウガッコウタイイクカン,山口県大島郡周防大島町大字西安下庄562,,,,,,,353051,山口県,周防大島町,,,,,,,,,,270(3.3㎡あたり1人),,,
142,JA山口大島西安下庄田中原橘選果場,ジェイエーヤマグチオオシマニシアゲノショウタナカバラカンキツセンカジョウ,山口県大島郡周防大島町大字西安下庄548‐1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,285(3.3㎡あたり1人),,,
143,長天老人憩の家,ナガテンロウジンイコイノイエ,山口県大島郡周防大島町大字西安下庄581-3,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
144,橘ウインドパーク,タチバナウインドパークグラウンド,山口県大島郡周防大島町大字西安下庄3927-14,,,,,,,353051,山口県,周防大島町,,,,,,,,,,125(3.3㎡あたり1人),,,
145,三ツ松区民館,ミツマツクミンカン,山口県大島郡周防大島町大字西安下庄1086-37,,,,,,,353051,山口県,周防大島町,,,,,,,,,,35(3.3㎡あたり1人),,,
146,長尾八幡宮,ナガオハチマングウ,山口県大島郡周防大島町大字西安下庄2651,,,,,,,353051,山口県,周防大島町,,,,,,,,,,35(3.3㎡あたり1人),,,
147,庄区民館,ショウクミンカン,山口県大島郡周防大島町大字西安下庄2833-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,25(3.3㎡あたり1人),,,
148,川間区民館,カワナイクミンカン,山口県大島郡周防大島町大字西安下庄1916-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
149,安下老人憩の家,アゲロウジンイコイノイエ,山口県大島郡周防大島町大字西安下庄1512-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
150,源明老人憩の家（区民館）,ゲンメイロウジンイコイノウエ（クミンカン）,山口県大島郡周防大島町大字西安下庄2094-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
