trans_id,lang,translation
安田女子大入口,ja,安田女子大入口
安田女子大入口,ja-Hrkt,やすだじょしだいいりぐち
安田女子大入口,en,Yasuda Joshidai-iriguchi (Yasuda Women's Univ.)
安田女子大入口,ko,야스다 여자대학
安田女子大入口,zh-cn,安田女子大学入口
安田女子大入口,zh-tw,安田女子大學入口
日浦口,ja,日浦口
日浦口,ja-Hrkt,ひうらぐち
日浦口,en,Hiura-guchi
日浦口,ko,히우라 구치
日浦口,zh-cn,日浦口
日浦口,zh-tw,日浦口
安中央,ja,安中央
安中央,ja-Hrkt,やすちゅうおう
安中央,en,Yasu-chuo
安中央,ko,야스 추오
安中央,zh-cn,安中央
安中央,zh-tw,安中央
安小学校,ja,安小学校
安小学校,ja-Hrkt,やすしょうがっこう
安小学校,en,Yasu Shoggako (Yasu Elementary School)
安小学校,ko,야수 초등학교
安小学校,zh-cn,安小学
安小学校,zh-tw,安小學
上安,ja,上安
上安,ja-Hrkt,かみやす
上安,en,Kami-yasu
上安,ko,가미야스
上安,zh-cn,上安
上安,zh-tw,上安
高取,ja,高取
高取,ja-Hrkt,たかとり
高取,en,Takatori
高取,ko,다카토리
高取,zh-cn,高取
高取,zh-tw,高取
長楽寺,ja,長楽寺
長楽寺,ja-Hrkt,ちょうらくじ
長楽寺,en,Chorakuji
長楽寺,ko,조라쿠지
長楽寺,zh-cn,长乐寺
長楽寺,zh-tw,長樂寺
伴安,ja,伴安
伴安,ja-Hrkt,ともやす
伴安,en,Tomoyasu
伴安,ko,도모야스
伴安,zh-cn,伴安
伴安,zh-tw,伴安
下向,ja,下向
下向,ja-Hrkt,しもむかい
下向,en,Shimomukai
下向,ko,시모무카이
下向,zh-cn,下向
下向,zh-tw,下向
下伴,ja,下伴
下伴,ja-Hrkt,しもとも
下伴,en,Shimotomo
下伴,ko,시모토모
下伴,zh-cn,下伴
下伴,zh-tw,下伴
広陵学園入口,ja,広陵学園入口
広陵学園入口,ja-Hrkt,こうりょうがくえんいりぐち
広陵学園入口,en,Koryo Gakuen-iriguchi (Koryo Gakuen School)
広陵学園入口,ko,고료 학원
広陵学園入口,zh-cn,广陵学园入口
広陵学園入口,zh-tw,廣陵學園入口
松宗,ja,松宗
松宗,ja-Hrkt,まつむね
松宗,en,Matsumune
松宗,ko,마쓰무네
松宗,zh-cn,松宗
松宗,zh-tw,松宗
三菱団地入口,ja,三菱団地入口
三菱団地入口,ja-Hrkt,みつびしだんちいりぐち
三菱団地入口,en,Mitsubishi Danchi-iriguchi
三菱団地入口,ko,미쓰비시 단치
三菱団地入口,zh-cn,三菱团地入口
三菱団地入口,zh-tw,三菱團地入口
広域公園前駅,ja,広域公園前駅
広域公園前駅,ja-Hrkt,こういきこうえんまええき
広域公園前駅,en,Koiki Koen-mae Sta.
広域公園前駅,ko,고이키 코엔마에 역
広域公園前駅,zh-cn,广域公园前站
広域公園前駅,zh-tw,廣域公園前站
エディオンスタジアム広島,ja,エディオンスタジアム広島
中大塚,ja,中大塚
中大塚,ja-Hrkt,なかおおつか
中大塚,en,Naka-ozuka
中大塚,ko,나카오즈카
中大塚,zh-cn,中大塚
中大塚,zh-tw,中大塚
大塚駅,ja,大塚駅
大塚駅,ja-Hrkt,おおづかえき
大塚駅,en,Ozuka Sta.
大塚駅,ko,오즈카 역
大塚駅,zh-cn,大塚站
大塚駅,zh-tw,大塚站
佐伯区役所前,ja,佐伯区役所前
佐伯区役所前,ja-Hrkt,さえきくやくしょまえ
佐伯区役所前,en,Saeki Kuyakusho-mae (Saeki Ward Office)
佐伯区役所前,ko,사에키 구청
佐伯区役所前,zh-cn,佐伯区政府前
佐伯区役所前,zh-tw,佐伯區政府前
三菱団地下,ja,三菱団地下
三菱団地下,ja-Hrkt,みつびしだんちしも
三菱団地下,en,Mitsubishi Danchi-shimo
三菱団地下,ko,미쓰비시 단치 시모
三菱団地下,zh-cn,三菱团地下
三菱団地下,zh-tw,三菱團地下
三菱団地中,ja,三菱団地中
三菱団地中,ja-Hrkt,みつびしだんちなか
三菱団地中,en,Mitsubishi Danchi-naka
三菱団地中,ko,미쓰비시 단치 나카
三菱団地中,zh-cn,三菱团地中
三菱団地中,zh-tw,三菱團地中
三菱団地上,ja,三菱団地上
三菱団地上,ja-Hrkt,みつびしだんちかみ
三菱団地上,en,Mitsubishi Danchi-kami
三菱団地上,ko,미쓰비시 단치 카미
三菱団地上,zh-cn,三菱团地上
三菱団地上,zh-tw,三菱團地上
鳴る谷,ja,鳴る谷
鳴る谷,ja-Hrkt,なるたに
鳴る谷,en,Narutani
鳴る谷,ko,나루타니
鳴る谷,zh-cn,鸣谷
鳴る谷,zh-tw,鳴谷
中東口,ja,中東口
中東口,ja-Hrkt,なかひがしぐち
中東口,en,Naka-higashi-guchi
中東口,ko,나카히가시구치
中東口,zh-cn,中东口
中東口,zh-tw,中東口
下向上,ja,下向上
下向上,ja-Hrkt,しもむかいかみ
下向上,en,Shimomukai-kami
下向上,ko,시모무카이카미
下向上,zh-cn,下向上
下向上,zh-tw,下向上
細坂上,ja,細坂上
細坂上,ja-Hrkt,ほそさかかみ
細坂上,en,Hososaka-kami
細坂上,ko,호소사카 카미
細坂上,zh-cn,细坂上
細坂上,zh-tw,細阪上
新畑,ja,新畑
新畑,ja-Hrkt,しんばた
新畑,en,Shimbata
新畑,ko,신바타 （구레 시)
新畑,zh-cn,新畑（吴市）
新畑,zh-tw,新畑（吳市）
下大下,ja,下大下
下大下,ja-Hrkt,しもおおしも
下大下,en,Shimo-oshimo
下大下,ko,시모오시모
下大下,zh-cn,下大下
下大下,zh-tw,下大下
大下,ja,大下
大下,ja-Hrkt,おおしも
