trans_id,lang,translation,category,station_sid,course_sid
Ａシティ中央,zh-tw,A.CITY中央,stop_name,e3afcde4-db8f-4bb3-8d53-59678338b4fb,
広域公園テニスコート,ja,広域公園テニスコート,stop_name,70d79909-0cb2-4395-a4af-99bdc304d64e,
広域公園テニスコート,ja-Hrkt,こういきこうえんてにすこーとはなのきだいいりぐち,stop_name,70d79909-0cb2-4395-a4af-99bdc304d64e,
広域公園テニスコート,en,Koiki Koen Tennis Court,stop_name,70d79909-0cb2-4395-a4af-99bdc304d64e,
広域公園テニスコート,ko,고이키 코엔 테니스코트,stop_name,70d79909-0cb2-4395-a4af-99bdc304d64e,
広域公園テニスコート,zh-cn,广域公园网球场,stop_name,70d79909-0cb2-4395-a4af-99bdc304d64e,
広域公園テニスコート,zh-tw,廣域公園網球場,stop_name,70d79909-0cb2-4395-a4af-99bdc304d64e,
せせらぎ公園前,ja,せせらぎ公園前,stop_name,3fc3d47c-e2b3-40bc-8b06-7977d4768b7a,
せせらぎ公園前,ja-Hrkt,せせらぎこうえんまえ,stop_name,3fc3d47c-e2b3-40bc-8b06-7977d4768b7a,
せせらぎ公園前,en,Seseragi Koen-mae (Seseragi Park),stop_name,3fc3d47c-e2b3-40bc-8b06-7977d4768b7a,
せせらぎ公園前,ko,세세라기 공원,stop_name,3fc3d47c-e2b3-40bc-8b06-7977d4768b7a,
せせらぎ公園前,zh-cn,Seseragi公园前,stop_name,3fc3d47c-e2b3-40bc-8b06-7977d4768b7a,
せせらぎ公園前,zh-tw,Seseragi公園前,stop_name,3fc3d47c-e2b3-40bc-8b06-7977d4768b7a,
若林入口,ja,若林入口,stop_name,c8223790-07dd-4f6f-97e4-594d16046f81,
若林入口,ja-Hrkt,わかばやしいりぐち,stop_name,c8223790-07dd-4f6f-97e4-594d16046f81,
若林入口,en,Wakabayashi-iriguchi,stop_name,c8223790-07dd-4f6f-97e4-594d16046f81,
若林入口,ko,와카바야시 이리구치,stop_name,c8223790-07dd-4f6f-97e4-594d16046f81,
若林入口,zh-cn,若林入口,stop_name,c8223790-07dd-4f6f-97e4-594d16046f81,
若林入口,zh-tw,若林入口,stop_name,c8223790-07dd-4f6f-97e4-594d16046f81,
佐伯区民文化センター前,ja,佐伯区民文化センター前,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センター前,ja-Hrkt,さえきくみんぶんかせんた－まえ,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センター前,en,Saeki Kumin Bunka Center-mae (Saeki Ward Community Cultural Center),stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センター前,ko,사에키 구민문화센터,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センター前,zh-cn,佐伯区民文化中心前,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センター前,zh-tw,佐伯區民文化中心前,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センタ－前,ja,佐伯区民文化センタ－前,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センタ－前,ja-Hrkt,さえきくみんぶんかせんた－まえ,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センタ－前,en,Saeki Kumin Bunka Center-mae (Saeki Ward Community Cultural Center),stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センタ－前,ko,사에키 구민문화센터,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センタ－前,zh-cn,佐伯区民文化中心前,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
佐伯区民文化センタ－前,zh-tw,佐伯區民文化中心前,stop_name,7c233c91-b97e-41a6-abde-e2f6ad70ba60,
ＪＲ阿品駅,ja,ＪＲ阿品駅,stop_name,ef0a3496-8550-45b8-a02b-abe977127629,
ＪＲ阿品駅,ja-Hrkt,じぇいあーるあじなえき,stop_name,ef0a3496-8550-45b8-a02b-abe977127629,
ＪＲ阿品駅,en,JR Ajina Sta.,stop_name,ef0a3496-8550-45b8-a02b-abe977127629,
ＪＲ阿品駅,ko,JR 아지나 역,stop_name,ef0a3496-8550-45b8-a02b-abe977127629,
ＪＲ阿品駅,zh-cn,JR阿品站,stop_name,ef0a3496-8550-45b8-a02b-abe977127629,
ＪＲ阿品駅,zh-tw,JR阿品站,stop_name,ef0a3496-8550-45b8-a02b-abe977127629,
安芸高田警察署,ja,安芸高田警察署,stop_name,54d3db67-9975-4b1a-b4e5-d5771cb5737d,
安芸高田警察署,ja-Hrkt,あきたかたけいさつしょまえ,stop_name,54d3db67-9975-4b1a-b4e5-d5771cb5737d,
安芸高田警察署,en,Akitakata Keisatsusho-mae (Akitakata Police Station),stop_name,54d3db67-9975-4b1a-b4e5-d5771cb5737d,
安芸高田警察署,ko,아키 타카타 경찰서,stop_name,54d3db67-9975-4b1a-b4e5-d5771cb5737d,
安芸高田警察署,zh-cn,安艺高田警察署,stop_name,54d3db67-9975-4b1a-b4e5-d5771cb5737d,
安芸高田警察署,zh-tw,安藝高田警察署,stop_name,54d3db67-9975-4b1a-b4e5-d5771cb5737d,
新町下,ja,新町下,stop_name,f878bf1e-74e8-46c1-b5fa-28b942983adb,
新町下,ja-Hrkt,しんまちしも,stop_name,f878bf1e-74e8-46c1-b5fa-28b942983adb,
新町下,en,Shinmachi-shimo,stop_name,f878bf1e-74e8-46c1-b5fa-28b942983adb,
新町下,ko,신마치 시모,stop_name,f878bf1e-74e8-46c1-b5fa-28b942983adb,
新町下,zh-cn,新町下,stop_name,f878bf1e-74e8-46c1-b5fa-28b942983adb,
新町下,zh-tw,新町下,stop_name,f878bf1e-74e8-46c1-b5fa-28b942983adb,
安芸高田市役所前,ja,安芸高田市役所前,stop_name,8c3c501e-59d0-4ba2-82eb-bbc294ef80d1,
安芸高田市役所前,ja-Hrkt,あきたかたしやくしょまえ,stop_name,8c3c501e-59d0-4ba2-82eb-bbc294ef80d1,
安芸高田市役所前,en,Akitakata Shiyakusho-mae (Akitakata City Hall),stop_name,8c3c501e-59d0-4ba2-82eb-bbc294ef80d1,
安芸高田市役所前,ko,아키 타카타 시청,stop_name,8c3c501e-59d0-4ba2-82eb-bbc294ef80d1,
安芸高田市役所前,zh-cn,安艺高田市政府前,stop_name,8c3c501e-59d0-4ba2-82eb-bbc294ef80d1,
安芸高田市役所前,zh-tw,安藝高田市政府前,stop_name,8c3c501e-59d0-4ba2-82eb-bbc294ef80d1,
高取駅,ja,高取駅,stop_name,183855c5-92b8-44dc-8c40-9beab6581c59,
高取駅,ja-Hrkt,たかとりえき,stop_name,183855c5-92b8-44dc-8c40-9beab6581c59,
高取駅,en,Takatori Sta.,stop_name,183855c5-92b8-44dc-8c40-9beab6581c59,
高取駅,ko,다카토리 역,stop_name,183855c5-92b8-44dc-8c40-9beab6581c59,
高取駅,zh-cn,高取站,stop_name,183855c5-92b8-44dc-8c40-9beab6581c59,
高取駅,zh-tw,高取站,stop_name,183855c5-92b8-44dc-8c40-9beab6581c59,
日赤看護大学前,ja,日赤看護大学前,stop_name,0560af7c-7c38-4a68-b3be-2c3f8dd48f8f,
日赤看護大学前,ja-Hrkt,にっせきかんごだいがく,stop_name,0560af7c-7c38-4a68-b3be-2c3f8dd48f8f,
日赤看護大学前,en,Nisseki Kango Daigaku (Japanese Red Cross Col. of Nursing),stop_name,0560af7c-7c38-4a68-b3be-2c3f8dd48f8f,
日赤看護大学前,ko,일본적십자 간호대학,stop_name,0560af7c-7c38-4a68-b3be-2c3f8dd48f8f,
日赤看護大学前,zh-cn,日赤看护大学,stop_name,0560af7c-7c38-4a68-b3be-2c3f8dd48f8f,
日赤看護大学前,zh-tw,日赤看護大學,stop_name,0560af7c-7c38-4a68-b3be-2c3f8dd48f8f,
五日市中央二丁目,ja,五日市中央二丁目,stop_name,f9593b0e-f593-4e17-8d88-2d584d6d4ce6,
五日市中央二丁目,ja-Hrkt,いつかいちちゅうおうにちょうめ,stop_name,f9593b0e-f593-4e17-8d88-2d584d6d4ce6,
五日市中央二丁目,en,Itsukaichi-chuo-nichome (Itsukaichi-chuo 2),stop_name,f9593b0e-f593-4e17-8d88-2d584d6d4ce6,
五日市中央二丁目,ko,이쓰카이치 추오 2초메,stop_name,f9593b0e-f593-4e17-8d88-2d584d6d4ce6,
五日市中央二丁目,zh-cn,五日市中央二丁目,stop_name,f9593b0e-f593-4e17-8d88-2d584d6d4ce6,
五日市中央二丁目,zh-tw,五日市中央二丁目,stop_name,f9593b0e-f593-4e17-8d88-2d584d6d4ce6,
五日市中央公民館,ja,五日市中央公民館,stop_name,64bbcb63-9a20-48cc-ba8c-d69b67e34458,
五日市中央公民館,ja-Hrkt,いつかいちちゅうおうこうみんか,stop_name,64bbcb63-9a20-48cc-ba8c-d69b67e34458,
五日市中央公民館,en,Itsukaichi-chuo Kominkan (Itsukaichi Chuo Community Center),stop_name,64bbcb63-9a20-48cc-ba8c-d69b67e34458,
五日市中央公民館,ko,이쓰카이치 추오 공민관,stop_name,64bbcb63-9a20-48cc-ba8c-d69b67e34458,
五日市中央公民館,zh-cn,五日市中央公民馆,stop_name,64bbcb63-9a20-48cc-ba8c-d69b67e34458,
五日市中央公民館,zh-tw,五日市中央公民館,stop_name,64bbcb63-9a20-48cc-ba8c-d69b67e34458,
上平木,ja,上平木,stop_name,fadc3e9a-1898-4fc8-a9b2-5b337e1a5693,
上平木,ja-Hrkt,かみひらぎ,stop_name,fadc3e9a-1898-4fc8-a9b2-5b337e1a5693,
上平木,en,Kami-hiragi,stop_name,fadc3e9a-1898-4fc8-a9b2-5b337e1a5693,
上平木,ko,가미히라기,stop_name,fadc3e9a-1898-4fc8-a9b2-5b337e1a5693,
上平木,zh-cn,上平木,stop_name,fadc3e9a-1898-4fc8-a9b2-5b337e1a5693,
上平木,zh-tw,上平木,stop_name,fadc3e9a-1898-4fc8-a9b2-5b337e1a5693,
中地大橋,ja,中地大橋,stop_name,bc95f55f-1bba-4766-bdac-faeb74697c31,
